n,avg_time,std_dev,best_time,worst_time,label,Methode
1373,1.7799980317552883e-05,1.1464205025530801e-05,9.600073099136353e-06,3.0899886041879654e-05,Fermat (k=3),Fermat
2719,1.3899911815921465e-05,1.819386388006628e-06,1.1799857020378113e-05,1.4999881386756897e-05,Fermat (k=3),Fermat
4639,1.0133332883318266e-05,2.3458486392340233e-06,8.100178092718124e-06,1.2699980288743973e-05,Fermat (k=3),Fermat
5003,7.3000167806943255e-06,1.3000457201843723e-06,6.4999330788850784e-06,8.800067007541656e-06,Fermat (k=3),Fermat
5531,7.133387650052707e-06,7.767212940256415e-07,6.500165909528732e-06,8.00006091594696e-06,Fermat (k=3),Fermat
1373,0.00011883342328170936,1.2663724110359951e-05,0.0001055002212524414,0.00013069994747638702,Wilson,Wilson
2719,0.0003801333562781413,1.5900376597356293e-05,0.0003665001131594181,0.00039760000072419643,Wilson,Wilson
4639,0.0009506333153694868,1.8404959218411327e-05,0.0009383999276906252,0.0009717999491840601,Wilson,Wilson
5003,0.0015556667155275743,0.00039399118669962034,0.001101000001654029,0.0017967000603675842,Wilson,Wilson
5531,0.002908100141212344,0.00047459614853235686,0.002492200117558241,0.0034251001197844744,Wilson,Wilson
1373,0.0019159999986489613,0.0006609006073377468,0.001155500067397952,0.0023511999752372503,Initial Lucas,Initial Lucas
2719,0.0006732334538052479,0.0005532966179919874,0.000336300116032362,0.0013118002098053694,Initial Lucas,Initial Lucas
4639,0.001860233334203561,0.0018045075208747998,0.0005371000152081251,0.003915800014510751,Initial Lucas,Initial Lucas
5003,0.0031071333214640617,0.0014704353952596527,0.002037900034338236,0.004784000106155872,Initial Lucas,Initial Lucas
5531,0.0028547000450392566,0.0013136907211721337,0.0020896000787615776,0.004371599992737174,Initial Lucas,Initial Lucas
1373,7.330005367596944e-05,4.941063107075264e-05,3.2400013878941536e-05,0.00012820004485547543,Lucas,Lucas
2719,4.276672067741553e-05,3.3211756465367225e-05,1.4400109648704529e-05,7.930002175271511e-05,Lucas,Lucas
4639,0.0004678999539464712,0.00017340763204917633,0.00035069999285042286,0.000667099840939045,Lucas,Lucas
5003,0.0005238999923070272,0.0001943644525621995,0.0003029999788850546,0.000668700085952878,Lucas,Lucas
5531,0.0003360000749429067,0.00023658698506835068,0.00012190011329948902,0.0005900000687688589,Lucas,Lucas
1373,2.7733311677972477e-05,1.2942331774204475e-05,1.3699987903237343e-05,3.920006565749645e-05,Optimized Lucas,Optimized Lucas
2719,1.793339227636655e-05,4.34317694641686e-06,1.4200108125805855e-05,2.2700056433677673e-05,Optimized Lucas,Optimized Lucas
4639,1.6533381616075833e-05,3.478968631504816e-06,1.400010660290718e-05,2.050003968179226e-05,Optimized Lucas,Optimized Lucas
5003,1.540003965298335e-05,2.7221094796724005e-06,1.3400102034211159e-05,1.850002445280552e-05,Optimized Lucas,Optimized Lucas
5531,2.46000320961078e-05,8.861142441843804e-06,1.8800143152475357e-05,3.4800032153725624e-05,Optimized Lucas,Optimized Lucas
