n_numbers, 100
start, 1
end, 100000
test_repeats, 10
number_type, g:0.5
variant, 2
seed, 66544
group_range, Probabilistisch, n=100, start=1, end=100000
group_range, Lucas, n=100, start=1, end=100000
group_range, Langsam, n=100, start=1, end=100000
group_range, Proth-Tests, n=100, start=1, end=100000
group_range, Pocklington-Tests, n=100, start=1, end=100000
group_range, Rao, n=100, start=1, end=100000
group_range, Ramzy, n=100, start=1, end=100000
group_range, Fermat-Zahlen, n=100, start=1, end=100000
group_range, Mersenne-Zahlen, n=100, start=1, end=100000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.067 ms, avg_avg_time=0.081 ms, avg_worst_time=0.155 ms, avg_std_dev=0.028
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.074 ms, avg_avg_time=0.084 ms, avg_worst_time=0.127 ms, avg_std_dev=0.017
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.015 ms, avg_avg_time=0.016 ms, avg_worst_time=0.023 ms, avg_std_dev=0.003
test_avg, Initial Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=8.013 ms, avg_avg_time=8.357 ms, avg_worst_time=8.815 ms, avg_std_dev=0.254
test_avg, Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=3.579 ms, avg_avg_time=3.758 ms, avg_worst_time=4.229 ms, avg_std_dev=0.201
test_avg, Optimized Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=7.091 ms, avg_avg_time=7.334 ms, avg_worst_time=7.628 ms, avg_std_dev=0.162
test_avg, Wilson, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=6.146 ms, avg_avg_time=6.374 ms, avg_worst_time=6.814 ms, avg_std_dev=0.204
test_avg, AKS10, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.781 ms, avg_avg_time=5.148 ms, avg_worst_time=6.498 ms, avg_std_dev=0.536
test_avg, Pepin, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.000 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Lucas-Lehmer, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.003 ms, avg_std_dev=0.001
test_avg, Proth, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.868 ms, avg_avg_time=6.136 ms, avg_worst_time=6.618 ms, avg_std_dev=0.232
test_avg, Proth Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Pocklington, avg_false_positive=0.240, avg_false_negative=0.000, avg_error_rate=0.240, avg_best_time=27.030 ms, avg_avg_time=28.108 ms, avg_worst_time=29.969 ms, avg_std_dev=0.929
test_avg, Optimized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=22.185 ms, avg_avg_time=23.024 ms, avg_worst_time=24.072 ms, avg_std_dev=0.601
test_avg, Optimized Pocklington Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=272.091 ms, avg_avg_time=290.724 ms, avg_worst_time=304.065 ms, avg_std_dev=10.180
test_avg, Generalized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=39.640 ms, avg_avg_time=50.656 ms, avg_worst_time=56.105 ms, avg_std_dev=5.491
test_avg, Rao, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.003 ms, avg_avg_time=0.003 ms, avg_worst_time=0.005 ms, avg_std_dev=0.001
test_avg, Ramzy, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=38.127 ms, avg_avg_time=46.544 ms, avg_worst_time=50.825 ms, avg_std_dev=4.218

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.001 ms,0.003 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.101 ms,0.133 ms,0.378 ms,0.086 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.101 ms,0.111 ms,0.150 ms,0.016 ms,"[(2, True, True), (3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.100 ms,0.107 ms,0.140 ms,0.012 ms,"[(5, True, True), (3, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.099 ms,0.109 ms,0.164 ms,0.019 ms,"[(8, True, True), (4, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.101 ms,0.111 ms,0.163 ms,0.019 ms,"[(7, True, True), (3, True, True), (12, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.060 ms,0.008 ms,"[(3, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.103 ms,0.122 ms,0.199 ms,0.030 ms,"[(7, True, True), (13, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.102 ms,0.121 ms,0.207 ms,0.031 ms,"[(4, True, True), (10, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.079 ms,0.014 ms,"[(14, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.101 ms,0.107 ms,0.137 ms,0.011 ms,"[(11, True, True), (2, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.100 ms,0.110 ms,0.164 ms,0.019 ms,"[(10, True, True), (21, True, True), (18, True, True)]",,
Probabilistisch,Fermat (k = 3),33,composite,False,False,False,False,0,0.033 ms,0.037 ms,0.060 ms,0.008 ms,"[(6, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.101 ms,0.108 ms,0.135 ms,0.010 ms,"[(17, True, True), (8, True, True), (19, True, True)]",,
Probabilistisch,Fermat (k = 3),53,prime,True,False,False,False,0,0.105 ms,0.118 ms,0.161 ms,0.019 ms,"[(30, True, True), (21, True, True), (36, True, True)]",,
Probabilistisch,Fermat (k = 3),59,prime,True,False,False,False,0,0.102 ms,0.113 ms,0.153 ms,0.015 ms,"[(53, True, True), (50, True, True), (17, True, True)]",,
Probabilistisch,Fermat (k = 3),65,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.062 ms,0.008 ms,"[(5, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),67,prime,True,False,False,False,0,0.102 ms,0.112 ms,0.166 ms,0.019 ms,"[(60, True, True), (65, True, True), (51, True, True)]",,
Probabilistisch,Fermat (k = 3),75,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.065 ms,0.009 ms,"[(11, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),79,prime,True,False,False,False,0,0.102 ms,0.113 ms,0.161 ms,0.019 ms,"[(72, True, True), (20, True, True), (50, True, True)]",,
Probabilistisch,Fermat (k = 3),83,prime,True,False,False,False,0,0.105 ms,0.116 ms,0.171 ms,0.021 ms,"[(57, True, True), (54, True, True), (31, True, True)]",,
Probabilistisch,Fermat (k = 3),99,composite,False,False,False,False,0,0.034 ms,0.040 ms,0.061 ms,0.008 ms,"[(19, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),103,prime,True,False,False,False,0,0.101 ms,0.109 ms,0.165 ms,0.020 ms,"[(84, True, True), (24, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),109,prime,True,False,False,False,0,0.103 ms,0.111 ms,0.160 ms,0.017 ms,"[(86, True, True), (72, True, True), (13, True, True)]",,
Probabilistisch,Fermat (k = 3),127,prime,True,False,False,False,0,0.102 ms,0.114 ms,0.178 ms,0.024 ms,"[(74, True, True), (38, True, True), (70, True, True)]",,
