n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 91229
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.164 ms, avg_avg_time=0.253 ms, avg_worst_time=1.124 ms, avg_std_dev=0.138
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.187 ms, avg_avg_time=0.279 ms, avg_worst_time=1.084 ms, avg_std_dev=0.134
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.041 ms, avg_avg_time=0.052 ms, avg_worst_time=0.184 ms, avg_std_dev=0.021

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.001 ms,0.015 ms,0.002 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.234 ms,0.512 ms,3.049 ms,0.360 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.199 ms,0.263 ms,1.203 ms,0.131 ms,"[(3, True, True), (3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.198 ms,0.266 ms,0.682 ms,0.103 ms,"[(5, True, True), (3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.189 ms,0.249 ms,0.832 ms,0.089 ms,"[(7, True, True), (3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.210 ms,0.297 ms,0.678 ms,0.074 ms,"[(3, True, True), (7, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.094 ms,0.099 ms,0.219 ms,0.014 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.237 ms,0.278 ms,0.666 ms,0.062 ms,"[(16, True, True), (11, True, True), (15, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.190 ms,0.272 ms,0.541 ms,0.058 ms,"[(7, True, True), (16, True, True), (13, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.126 ms,0.170 ms,0.413 ms,0.056 ms,"[(20, True, True), (9, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.189 ms,0.263 ms,0.587 ms,0.080 ms,"[(19, True, True), (7, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),29,prime,True,False,False,False,0,0.190 ms,0.254 ms,0.488 ms,0.057 ms,"[(2, True, True), (25, True, True), (17, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.190 ms,0.255 ms,3.355 ms,0.319 ms,"[(20, True, True), (6, True, True), (12, True, True)]",,
Probabilistisch,Fermat (k = 3),33,composite,False,False,False,False,0,0.126 ms,0.180 ms,0.890 ms,0.093 ms,"[(32, True, True), (14, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),35,composite,False,False,False,False,0,0.070 ms,0.095 ms,0.307 ms,0.036 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.187 ms,0.246 ms,0.559 ms,0.055 ms,"[(29, True, True), (35, True, True), (25, True, True)]",,
Probabilistisch,Fermat (k = 3),39,composite,False,False,False,False,0,0.069 ms,0.091 ms,0.217 ms,0.028 ms,"[(22, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),41,prime,True,False,False,False,0,0.187 ms,0.254 ms,0.584 ms,0.087 ms,"[(5, True, True), (32, True, True), (28, True, True)]",,
Probabilistisch,Fermat (k = 3),43,prime,True,False,False,False,0,0.188 ms,0.248 ms,0.505 ms,0.069 ms,"[(21, True, True), (35, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),45,composite,False,False,False,False,0,0.063 ms,0.081 ms,0.250 ms,0.030 ms,"[(12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),47,prime,True,False,False,False,0,0.190 ms,0.269 ms,0.705 ms,0.081 ms,"[(43, True, True), (12, True, True), (22, True, True)]",,
Probabilistisch,Fermat (k = 3),51,composite,False,False,False,False,0,0.064 ms,0.094 ms,0.293 ms,0.043 ms,"[(8, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),53,prime,True,False,False,False,0,0.190 ms,0.265 ms,0.563 ms,0.072 ms,"[(25, True, True), (51, True, True), (38, True, True)]",,
Probabilistisch,Fermat (k = 3),55,composite,False,False,False,False,0,0.067 ms,0.091 ms,0.232 ms,0.031 ms,"[(45, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),57,composite,False,False,False,False,0,0.069 ms,0.097 ms,0.498 ms,0.065 ms,"[(33, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),59,prime,True,False,False,False,0,0.189 ms,0.264 ms,0.751 ms,0.090 ms,"[(37, True, True), (35, True, True), (38, True, True)]",,
Probabilistisch,Fermat (k = 3),61,prime,True,False,False,False,0,0.201 ms,0.294 ms,3.379 ms,0.318 ms,"[(39, True, True), (59, True, True), (32, True, True)]",,
Probabilistisch,Fermat (k = 3),63,composite,False,False,False,False,0,0.064 ms,0.106 ms,0.307 ms,0.055 ms,"[(5, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),65,composite,False,False,False,False,0,0.189 ms,0.243 ms,0.730 ms,0.077 ms,"[(12, True, True), (27, True, True), (50, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),67,prime,True,False,False,False,0,0.201 ms,0.282 ms,0.693 ms,0.066 ms,"[(37, True, True), (23, True, True), (27, True, True)]",,
Probabilistisch,Fermat (k = 3),69,composite,False,False,False,False,0,0.064 ms,0.093 ms,0.432 ms,0.054 ms,"[(32, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),71,prime,True,False,False,False,0,0.191 ms,0.257 ms,0.603 ms,0.077 ms,"[(23, True, True), (30, True, True), (59, True, True)]",,
Probabilistisch,Fermat (k = 3),73,prime,True,False,False,False,0,0.193 ms,0.267 ms,0.534 ms,0.070 ms,"[(66, True, True), (55, True, True), (34, True, True)]",,
Probabilistisch,Fermat (k = 3),75,composite,False,False,False,False,0,0.068 ms,0.091 ms,0.245 ms,0.033 ms,"[(62, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),77,composite,False,False,False,False,0,0.064 ms,0.091 ms,0.269 ms,0.039 ms,"[(9, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),79,prime,True,False,False,False,0,0.190 ms,0.255 ms,0.537 ms,0.060 ms,"[(51, True, True), (43, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),83,prime,True,False,False,False,0,0.209 ms,0.262 ms,0.481 ms,0.063 ms,"[(45, True, True), (5, True, True), (77, True, True)]",,
Probabilistisch,Fermat (k = 3),85,composite,False,False,False,False,0,0.065 ms,0.087 ms,0.234 ms,0.033 ms,"[(61, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),87,composite,False,False,False,False,0,0.064 ms,0.076 ms,0.154 ms,0.017 ms,"[(14, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),89,prime,True,False,False,False,0,0.191 ms,0.236 ms,0.845 ms,0.087 ms,"[(76, True, True), (66, True, True), (45, True, True)]",,
Probabilistisch,Fermat (k = 3),91,composite,False,False,False,False,0,0.064 ms,0.075 ms,0.172 ms,0.018 ms,"[(5, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),93,composite,False,False,False,False,0,0.069 ms,0.211 ms,2.052 ms,0.193 ms,"[(4, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),95,composite,False,False,False,False,0,0.075 ms,0.175 ms,0.308 ms,0.045 ms,"[(66, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),97,prime,True,False,False,False,0,0.200 ms,0.297 ms,0.900 ms,0.150 ms,"[(74, True, True), (17, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 3),101,prime,True,False,False,False,0,0.190 ms,0.300 ms,0.772 ms,0.127 ms,"[(90, True, True), (18, True, True), (54, True, True)]",,
Probabilistisch,Fermat (k = 3),103,prime,True,False,False,False,0,0.192 ms,0.298 ms,0.758 ms,0.118 ms,"[(68, True, True), (82, True, True), (10, True, True)]",,
Probabilistisch,Fermat (k = 3),105,composite,False,False,False,False,0,0.068 ms,0.087 ms,0.195 ms,0.024 ms,"[(20, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),107,prime,True,False,False,False,0,0.201 ms,0.315 ms,0.791 ms,0.088 ms,"[(32, True, True), (84, True, True), (81, True, True)]",,
