n,avg_time,std_dev,label
106814,2.859998494386673e-06,2.9262982111259888e-06,Fermat (k=5)
126225,1.0999850928783416e-06,9.617523225185511e-07,Fermat (k=5)
127824,1.040007919073105e-06,5.128391677855984e-07,Fermat (k=5)
131244,9.199604392051696e-07,2.775160295319788e-07,Fermat (k=5)
133326,7.599126547574997e-07,3.974102427609302e-07,Fermat (k=5)
191161,5.260016769170761e-06,5.898684425719812e-07,Fermat (k=5)
197251,1.2999866157770156e-06,1.5818872733080936e-07,Fermat (k=5)
198246,8.599366992712021e-07,4.5060257108970035e-07,Fermat (k=5)
207175,1.25993974506855e-06,1.341391068716743e-07,Fermat (k=5)
207473,1.3000331819057465e-06,3.390332619711178e-07,Fermat (k=5)
216739,1.2400560081005096e-06,1.1399800610102217e-07,Fermat (k=5)
246316,8.400063961744309e-07,4.277882580102538e-07,Fermat (k=5)
263032,5.799811333417892e-07,1.0951347171259726e-07,Fermat (k=5)
267414,5.600042641162872e-07,1.9499711663991513e-07,Fermat (k=5)
308496,7.599592208862305e-07,3.209131882428743e-07,Fermat (k=5)
325772,7.399357855319977e-07,3.209131882428743e-07,Fermat (k=5)
329258,1.119915395975113e-06,3.7683792521876904e-07,Fermat (k=5)
331148,9.60053876042366e-07,4.4488896535587143e-07,Fermat (k=5)
334053,1.1400319635868072e-06,2.1908538376734906e-07,Fermat (k=5)
343962,1.4799647033214568e-06,1.013451116579129e-06,Fermat (k=5)
356787,8.400063961744309e-07,3.846652344424495e-07,Fermat (k=5)
388389,1.1799857020378113e-06,3.420280174074604e-07,Fermat (k=5)
391369,1.0800082236528397e-06,3.270398596512976e-07,Fermat (k=5)
391704,1.0600313544273377e-06,4.0368088097148675e-07,Fermat (k=5)
452944,8.399598300457e-07,3.9748639229361215e-07,Fermat (k=5)
456778,8.400995284318924e-07,3.4353423364022245e-07,Fermat (k=5)
539898,9.600073099136352e-07,5.029833179179512e-07,Fermat (k=5)
542417,1.2800097465515138e-06,1.923855812469981e-07,Fermat (k=5)
543143,5.100062116980552e-06,4.1829146501825006e-07,Fermat (k=5)
571029,1.0200310498476028e-06,3.19384114697957e-07,Fermat (k=5)
629903,5.419971421360969e-06,4.548838866794334e-07,Fermat (k=5)
671412,8.00006091594696e-07,4.5828647688271647e-07,Fermat (k=5)
671858,1.0199844837188721e-06,3.420824723342671e-07,Fermat (k=5)
688508,8.000526577234268e-07,4.2426731204521453e-07,Fermat (k=5)
717889,1.2799631804227828e-06,1.3033147361449543e-07,Fermat (k=5)
719176,1.040007919073105e-06,2.701225529903917e-07,Fermat (k=5)
731262,1.0000541806221008e-06,3.8073041091293767e-07,Fermat (k=5)
770487,1.3599637895822525e-06,5.029902587185379e-07,Fermat (k=5)
781453,5.859974771738053e-06,2.5096284676178545e-07,Fermat (k=5)
809570,8.600763976573944e-07,4.098186747695811e-07,Fermat (k=5)
832052,1.1199619621038436e-06,3.2707900980658256e-07,Fermat (k=5)
835392,1.0399613529443742e-06,4.098442565901242e-07,Fermat (k=5)
850800,9.799841791391373e-07,4.4382922731074804e-07,Fermat (k=5)
872246,1.040007919073105e-06,3.4356476681233267e-07,Fermat (k=5)
876646,9.599607437849045e-07,3.361330692317863e-07,Fermat (k=5)
877572,7.200054824352265e-07,3.8340871853133114e-07,Fermat (k=5)
895667,5.239946767687798e-06,2.7016134301939116e-07,Fermat (k=5)
900581,1.2799631804227828e-06,1.483172867768291e-07,Fermat (k=5)
944962,7.999595254659653e-07,3.2402156571307704e-07,Fermat (k=5)
948749,5.020061507821083e-06,1.6422591895564507e-07,Fermat (k=5)
