Algorithm,n,avg_time,std_dev,best,worst
Fermat,131,1.9633366415898006e-05,6.7113731222721995e-06,1.4400109648704529e-05,2.719997428357601e-05
Fermat,251,2.1033377076188724e-05,4.660760268062626e-06,1.800013706088066e-05,2.6399968191981316e-05
Fermat,503,1.8533396845062573e-05,3.8371055569660744e-06,1.5700003132224083e-05,2.2900057956576347e-05
Wilson,131,7.466723521550496e-06,2.914354590417318e-06,5.400041118264198e-06,1.0800082236528397e-05
Wilson,251,1.4266697689890862e-05,2.3245031149492245e-06,1.2499978765845299e-05,1.6900012269616127e-05
Wilson,503,4.220001089076201e-05,3.7801973046632643e-06,3.9400067180395126e-05,4.650000482797623e-05
Initial Lucas,131,5.783334684868654e-05,4.600710084910246e-05,1.2299977242946625e-05,0.00010429997928440571
Initial Lucas,251,0.0001234333806981643,1.2183692601408176e-05,0.00011619995348155499,0.00013749999925494194
Initial Lucas,503,0.00044216657988727093,0.00017025933601637827,0.0003274998161941767,0.0006377999670803547
Lucas,131,4.4066691771149635e-05,1.728130280266503e-05,3.329990431666374e-05,6.400002166628838e-05
Lucas,251,8.140007654825847e-05,3.968500847805494e-05,4.600011743605137e-05,0.00012429989874362946
Lucas,503,0.0001407333960135778,4.5236722847056475e-05,8.850009180605412e-05,0.0001672001089900732
Optimized Lucas,131,4.229997284710407e-05,2.2868616276042607e-05,2.7099857106804848e-05,6.860005669295788e-05
Optimized Lucas,251,3.183338170250257e-05,6.568169832401635e-06,2.7600210160017014e-05,3.939983434975147e-05
Optimized Lucas,503,5.156671007474264e-05,8.70025781632313e-06,4.2899977415800095e-05,6.0300109907984734e-05
