Test,model,r2,param_a,param_b,param_c
Solovay-Strassen,wurzel,0.2572363537502871,0.011177597227423565,0.011955453079688393,
Miller-Selfridge-Rabin,wurzel,0.0972471126109472,0.035087486144689116,0.07850348621010318,
Fermat,wurzel,0.0684484166755448,0.02473860305372985,0.0772379013531507,
Solovay-Strassen,quadratisch,0.6037665797628887,-0.003682735714286567,0.025061504285719738,-0.0039801000000077025
Miller-Selfridge-Rabin,quadratisch,0.4315412721651095,-0.017848699854598426,0.11554953906031602,-0.012986438780365431
Fermat,quadratisch,0.4210995046869753,-0.015255549990201593,0.0970866499718489,-0.004737560023329209
Solovay-Strassen,logarithmisch,0.32555161826563606,0.009629066121289397,0.02147450509072477,
Miller-Selfridge-Rabin,logarithmisch,0.14080776796930805,0.032331005979507506,0.1063695948889564,
Fermat,logarithmisch,0.10893377621459144,0.023898284583201465,0.09582877197825357,
Solovay-Strassen,linear,0.19108352796807815,0.0029650900000002256,0.021799049999998488,
Miller-Selfridge-Rabin,linear,0.05964194023450353,0.008457340000000202,0.11195445999999909,
Fermat,linear,0.036411223547313964,0.005553349999999901,0.10205129000000124,
